date,value
2018-06-27,9583
2018-06-28,9581
2018-06-29,9579
2018-06-30,9577
2018-07-01,9574
2018-07-02,9572
2018-07-03,9570
2018-07-04,9567
2018-07-05,9565
2018-07-06,9563
2018-07-07,9561
2018-07-08,9558
2018-07-09,9556
2018-07-10,9554
2018-07-11,9551
2018-07-12,9549
2018-07-13,9547
2018-07-14,9545
2018-07-15,9542
2018-07-16,9540
2018-07-17,9538
2018-07-18,9535
2018-07-19,9533
2018-07-20,9531
2018-07-21,9529
2018-07-22,9526
2018-07-23,9524
2018-07-24,9522
2018-07-25,9519
2018-07-26,9517
2018-07-27,9515
2018-07-28,9513
2018-07-29,9510
2018-07-30,9508
2018-07-31,9506
2018-08-01,9503
2018-08-02,9501
2018-08-03,9499
2018-08-04,9497
2018-08-05,9494
2018-08-06,9492
2018-08-07,9490
2018-08-08,9488
2018-08-09,9485
2018-08-10,9483
2018-08-11,9481
2018-08-12,9478
2018-08-13,9476
2018-08-14,9474
2018-08-15,9472
2018-08-16,9469
2018-08-17,9467
2018-08-18,9465
2018-08-19,9463
2018-08-20,9460
2018-08-21,9458
2018-08-22,9456
2018-08-23,9453
2018-08-24,9451
2018-08-25,9449
2018-08-26,9447
2018-08-27,9444
2018-08-28,9442
2018-08-29,9440
2018-08-30,9438
2018-08-31,9435
2018-09-01,9433
2018-09-02,9431
2018-09-03,9429
2018-09-04,9426
2018-09-05,9424
2018-09-06,9422
2018-09-07,9420
2018-09-08,9417
2018-09-09,9415
2018-09-10,9413
2018-09-11,9411
2018-09-12,9408
2018-09-13,9406
2018-09-14,9404
2018-09-15,9402
2018-09-16,9399
2018-09-17,9397
2018-09-18,9395
2018-09-19,9393
2018-09-20,9390
2018-09-21,9388
2018-09-22,9386
2018-09-23,9384
2018-09-24,9381
2018-09-25,9379
2018-09-26,9377
2018-09-27,9375
2018-09-28,9372
2018-09-29,9370
2018-09-30,9368
2018-10-01,9366
2018-10-02,9363
2018-10-03,9361
2018-10-04,9359
2018-10-05,9357
2018-10-06,9354
2018-10-07,9352
2018-10-08,9350
2018-10-09,9348
2018-10-10,9345
2018-10-11,9343
2018-10-12,9341
2018-10-13,9339
2018-10-14,9336
2018-10-15,9334
2018-10-16,9332
2018-10-17,9330
2018-10-18,9327
2018-10-19,9325
2018-10-20,9323
2018-10-21,9321
2018-10-22,9319
2018-10-23,9316
2018-10-24,9314
2018-10-25,9312
2018-10-26,9310
2018-10-27,9307
2018-10-28,9305
2018-10-29,9303
2018-10-30,9301
2018-10-31,9298
2018-11-01,9296
2018-11-02,9294
2018-11-03,9292
2018-11-04,9290
2018-11-05,9287
2018-11-06,9285
2018-11-07,9283
2018-11-08,9281
2018-11-09,9278
2018-11-10,9276
2018-11-11,9274
2018-11-12,9272
2018-11-13,9270
2018-11-14,9267
2018-11-15,9265
2018-11-16,9263
2018-11-17,9261
2018-11-18,9258
2018-11-19,9256
2018-11-20,9254
2018-11-21,9252
2018-11-22,9250
2018-11-23,9247
2018-11-24,9245
2018-11-25,9243
2018-11-26,9241
2018-11-27,9238
2018-11-28,9236
2018-11-29,9234
2018-11-30,9232
2018-12-01,9230
2018-12-02,9227
2018-12-03,9225
2018-12-04,9223
2018-12-05,9221
2018-12-06,9219
2018-12-07,9216
2018-12-08,9214
2018-12-09,9212
2018-12-10,9210
2018-12-11,9208
2018-12-12,9205
2018-12-13,9203
2018-12-14,9201
2018-12-15,9199
2018-12-16,9197
2018-12-17,9194
2018-12-18,9192
2018-12-19,9190
2018-12-20,9188
2018-12-21,9185
2018-12-22,9183
2018-12-23,9181
2018-12-24,9179
2018-12-25,9177
2018-12-26,9174
2018-12-27,9172
2018-12-28,9170
2018-12-29,9168
2018-12-30,9166
2018-12-31,9164
2019-01-01,9161
2019-01-02,9159
2019-01-03,9157
2019-01-04,9155
2019-01-05,9153
2019-01-06,9150
2019-01-07,9148
2019-01-08,9146
2019-01-09,9144
2019-01-10,9142
2019-01-11,9139
2019-01-12,9137
2019-01-13,9135
2019-01-14,9133
2019-01-15,9131
2019-01-16,9128
2019-01-17,9126
2019-01-18,9124
2019-01-19,9122
2019-01-20,9120
2019-01-21,9118
2019-01-22,9115
2019-01-23,9113
2019-01-24,9111
2019-01-25,9109
2019-01-26,9107
2019-01-27,9104
2019-01-28,9102
2019-01-29,9100
2019-01-30,9098
2019-01-31,9096
2019-02-01,9094
2019-02-02,9091
2019-02-03,9089
2019-02-04,9087
2019-02-05,9085
2019-02-06,9083
2019-02-07,9080
2019-02-08,9078
2019-02-09,9076
2019-02-10,9074
2019-02-11,9072
2019-02-12,9070
2019-02-13,9067
2019-02-14,9065
2019-02-15,9063
2019-02-16,9061
2019-02-17,9059
2019-02-18,9057
2019-02-19,9054
2019-02-20,9052
2019-02-21,9050
2019-02-22,9048
2019-02-23,9046
2019-02-24,9044
2019-02-25,9041
2019-02-26,9039
2019-02-27,9037
2019-02-28,9035
2019-03-01,9033
2019-03-02,9031
2019-03-03,9028
2019-03-04,9026
2019-03-05,9024
2019-03-06,9022
2019-03-07,9020
2019-03-08,9018
2019-03-09,9015
2019-03-10,9013
2019-03-11,9011
2019-03-12,9009
2019-03-13,9007
2019-03-14,9005
2019-03-15,9002
2019-03-16,9000
2019-03-17,8998
2019-03-18,8996
2019-03-19,8994
2019-03-20,8992
2019-03-21,8990
2019-03-22,8987
2019-03-23,8985
2019-03-24,8983
2019-03-25,8981
2019-03-26,8979
2019-03-27,8977
2019-03-28,8974
2019-03-29,8972
2019-03-30,8970
2019-03-31,8968
2019-04-01,8966
2019-04-02,8964
2019-04-03,8962
2019-04-04,8959
2019-04-05,8957
2019-04-06,8955
2019-04-07,8953
2019-04-08,8951
2019-04-09,8949
2019-04-10,8947
2019-04-11,8944
2019-04-12,8942
2019-04-13,8940
2019-04-14,8938
2019-04-15,8936
2019-04-16,8934
2019-04-17,8932
2019-04-18,8929
2019-04-19,8927
2019-04-20,8925
2019-04-21,8923
2019-04-22,8921
2019-04-23,8919
2019-04-24,8917
2019-04-25,8914
2019-04-26,8912
2019-04-27,8910
2019-04-28,8908
2019-04-29,8906
2019-04-30,8904
2019-05-01,8902
2019-05-02,8899
2019-05-03,8897
2019-05-04,8895
2019-05-05,8893
2019-05-06,8891
2019-05-07,8889
2019-05-08,8887
2019-05-09,8885
2019-05-10,8882
2019-05-11,8880
2019-05-12,8878
2019-05-13,8876
2019-05-14,8874
2019-05-15,8872
2019-05-16,8870
2019-05-17,8868
2019-05-18,8865
2019-05-19,8863
2019-05-20,8861
2019-05-21,8859
2019-05-22,8857
2019-05-23,8855
2019-05-24,8853
2019-05-25,8851
2019-05-26,8848
2019-05-27,8846
2019-05-28,8844
2019-05-29,8842
2019-05-30,8840
2019-05-31,8838
2019-06-01,8836
2019-06-02,8834
2019-06-03,8831
2019-06-04,8829
2019-06-05,8827
2019-06-06,8825
